id,level,word,word_reading,meaning,sentence_jp,sentence_en
JLPT Tango N1 item 0001,N1,身内,身内[みうち],relative,身内に医者がいると、何かと安心だ。,It's reassuring to have a doctor as a relative.
JLPT Tango N1 item 0002,N1,肉親[にくしん],肉親[にくしん],blood relationship; blood relative,父が他界し、肉親は兄だけになった。,My father passed away and all that is left of my immediate family is my big brother.
JLPT Tango N1 item 0003,N1,配偶者,配偶者[はいぐうしゃ],spouse,配偶者の有無をこちらに書いて下さい。,Please write down here whether you have a spouse or not.
JLPT Tango N1 item 0004,N1,家系,家系[かけい],family line,自分のルーツを知るために、家系図を作った。,I created a family tree to learn about my roots.
JLPT Tango N1 item 0005,N1,"御袋,お袋",御袋[おふくろ],mom,A「今の電話、誰から？」B「御袋。」,A: Who was that on the phone?B: My mom.
JLPT Tango N1 item 0006,N1,親父,親父[おやじ],dad,息子「親父、まだ帰ってないの？」母「今日も飲んでるんじゃない？」,Son: Dad's not home yet?Mother: He's probably out drinking.
JLPT Tango N1 item 0007,N1,寄越す,寄越[よこ]す,send,週に一度は母親が電話を寄越す。,My mother calls me once a week.
JLPT Tango N1 item 0008,N1,女房,女房[にょうぼにょうぼう],wife,A「今日、一杯どう？」B「女房が煩いから、帰るよ。」,A: How about a drink today?B: My wife would be mad so I'm taking off.
JLPT Tango N1 item 0009,N1,亭主,亭主[ていしゅ],husband,A「ご主人、単身赴任なの？」B「亭主は元気で留守がいいって言うじゃない。」,"""A: Is your husband away on assignment alone?B: As the saying goes, """"Best that the husband is away and well."""""""
JLPT Tango N1 item 0010,N1,温もり,温[ぬく]もり,warmth,結婚したら、温もりのある家庭を作りたい。,I wanted to get married and build a household full of warmth.
JLPT Tango N1 item 0011,N1,授かる,授[さず]かる,be given［他五］神仏や目上の人からある特別なものを与えられる。授けられる。,姉夫婦が女の子が授かった。,My older sister and her husband are having a baby girl.
JLPT Tango N1 item 0012,N1,名付ける,名付[なづ]ける,to name; to call; to christen; to term,日本では昔、長男を太郎と名付けることが多かった。,"In Japan, first-born sons were historically often named Taro."
JLPT Tango N1 item 0013,N1,すやすや,すやすや,sleep soundly,赤ちゃんがすやすや眠っている。,The baby is fast asleep.
JLPT Tango N1 item 0014,N1,仕草,仕草[しぐさ],gesture,娘の仕草は、私によく似ているらしい。,My daughter's gestures are apparently very much like mine.
JLPT Tango N1 item 0015,N1,愛しい,愛[いと]しい,adorable,子供が寝ている姿が、愛しくて堪らない。,The sight of a sleeping child is so adorable.
JLPT Tango N1 item 0016,N1,懐く,懐[なつ]く,be attached,末っ子は父親に中々懐かない。,The youngest child is having difficulty becoming attached to the father.
JLPT Tango N1 item 0017,N1,強請る,強請[ねだ]る,scrounge,妹は父に、良く玩具を強請っている。,My younger sister often scrounges off my father for toys.
JLPT Tango N1 item 0018,N1,拗ねる,拗[す]ねる,sulk。不平・不満を率直に表さないで、ぐずぐずと反抗的な態度をとる。ひねくれたように我を張る。,妹は自分の我が儘が通らないと、すぐ拗ねる。,My younger sister sulks every time she is not indulged.
JLPT Tango N1 item 0019,N1,指図,指図[さしず],"directions, instructions, orders, command",幼い頃から私は兄に指図されるのが嫌だった。,"Even as a child, I disliked having my brother order me around."
JLPT Tango N1 item 0020,N1,横取り,横取[よこど]り,snatching,子供の頃、兄に何時も玩具を横取りされた。,"When I was a child, my big brother was always snatching my toys away."
JLPT Tango N1 item 0021,N1,反発,反発[はんぱつ],"rebound, repel",何時も兄に反発して、喧嘩になってしまう 。,"I always rebel against my brother, and we end up in a fight."
JLPT Tango N1 item 0022,N1,家出,家出[いえで],running away from home,両親が煩くて、何回か家出したことがある。,My parents were so strict that I ran away from home several times.
JLPT Tango N1 item 0023,N1,ぎくしゃく,ぎくしゃく,be strained。ものごとが円滑でないさま。挙動や人間関係などについていうことが多い。,些細なことが理由で、兄弟の関係がぎくしゃくした。,The relationship between the brothers became strained for a petty reason.
JLPT Tango N1 item 0024,N1,言い返す,言[い]い 返[かえ]す,talk back,父親の忠告に言い返して叱られた。,I was scolded for talking back to my father after he warned me.
JLPT Tango N1 item 0025,N1,言い張る,言[い]い 張[は]る,insist,姉は何時も自分が正しいと言い張る。,My big sister always insists that she is correct.
JLPT Tango N1 item 0026,N1,門限,門限[もんげん],curfew,大学生になっても門限は10時だ。,"Even after becoming a college student, my curfew is 10 p.m."
JLPT Tango N1 item 0027,N1,散々,散々[さんざん],"severe, harsh, severly, harshly(1)物事の事態などが非常に悪いさまを意味する語。「散々な結果になる」などのように用いる。(2)物事が粉々に砕け散っているさまを意味する語。",門限を破って、父に散々説教された。,I broke my curfew and my father lectured me harshly.
JLPT Tango N1 item 0028,N1,省みる・顧みる,省[かえり]みる,reflect,父に叱られて、自分の行動を省みた。,"After I was scolded by my father, I reflected on my actions."
JLPT Tango N1 item 0029,N1,然も,然[さ]も,"as if; really (seem, appear, etc.); truly; evidently❶そうなるのが当然だという気持ちを表す。「さもあろう」❷そう形容するのがふさわしいという気持ちを表す。いかにも。「さも気持ちよさそうに寝ている」",姉は知らないことも、然も知っているかのように話す。,My older sister always talks about things she knows nothing about as if she did.
JLPT Tango N1 item 0030,N1,山々,山々[やまやま],very much (esp. wanting to do something one cannot); greatly; really,仕事を続けたいのは山々だが、育児中は難しい。,"I really want to continue working, but it is difficult to do so while raising a child."
JLPT Tango N1 item 0031,N1,再婚,再婚[さいこん],remarry,いい縁があって再婚することになった。,I happened to meet someone and decided to remarry.
JLPT Tango N1 item 0032,N1,健在,健在[けんざい],in good health,父と母の、どちらの両親も健在だ。,My grandparents on both sides of my family are still alive.
JLPT Tango N1 item 0033,N1,労る,労[いたわ]る,❶優しく大切に扱う。❷労をねぎらう。慰労する。,息子は祖父母を労る、迚も優しい子だ。,My son is a kind boy that cared a lot about his grandparents.
JLPT Tango N1 item 0034,N1,他界,他界[たかい],pass away,先月、祖父が100歳で他界した。,My grandfather passed away last month at the age of 100.
JLPT Tango N1 item 0035,N1,受け継ぐ,受[う]け 継[つ]ぐ,take over,数年後には父の事業を受け継ぐつもりだ。,I plan to take over my father’s business in the next few years.
JLPT Tango N1 item 0036,N1,遺産[1],遺産[いさん],inheritance/heritage,父の遺産について家族会議を開いた。,We held a family meeting to discuss our father’s inheritance.
"JLPT Tango N1 item 0036<br>世界遺産=World Heritage (cultural, natural, etc.)",N1,遺産[2],遺産[いさん],inheritance/heritage,いつか海外の世界遺産を巡りたい。,I want to travel around the world to visit World Heritage sites.
JLPT Tango N1 item 0037,N1,掛け替えのない,掛[か]け 替[が]えのない,invaluable;&nbsp;irreplaceableそれだけしかない、大切な。ほかに代わるもののない。,彼は私にとって掛け替えのない存在だ。,He is an invaluable person to me.
JLPT Tango N1 item 0038,N1,気が置けない,気[き]が 置[お]けない,easy to get along with気遣いする必要がない、打ち解けて付き合える、といった意味の表現。「気の置けない（気のおけない）」ともいう。,気が置けない仲間と過ごす時間が一番だ。,Spending time with close friends is the best.
JLPT Tango N1 item 0039,N1,気心,気心[きごころ],temper; disposition,彼女とは気心が知れた仲だ。,She is a friend who knows my disposition well.
JLPT Tango N1 item 0040,N1,打ち明ける,打[う]ち 明[あ]ける,confess,親友にだけ悩みを打ち明けた。,I shared my problems only with my best friend.
JLPT Tango N1 item 0041,N1,察する,察[さっ]する,sense事情などをおしはかって考える。思いやる。,友人は私の気持ちを察して、何も聞かなかった。,My friend sensed how I felt and didn't ask about anything.
JLPT Tango N1 item 0042,N1,同い年,同[おな]い 年[どし],same age,彼は私と同い年とは思えないくらい若い。,He looks so young that you wouldn't think that we are the same age.
